"","X","respondent_id","collector_id","start_date","end_date","prolific_id","allocated_wild_300","allocated_uk_300","allocated_develop_300","treatment","letter","sympath_1","sympath_2","donation","donation_explain","allocation_100","behavioural_1","behavioural_2","behavioural_3","behavioural_4","behavioural_5","sufficiency_1","sufficiency_2","sufficiency_3","social_norm_1","social_norm_2","social_norm_donation","efficacy","ego_1","ego_2","finance_secure_1","finance_secure_2","finance_secure_3","finance_secure_4","experience_1","experience_2","experience_3","climate_change_1","climate_change_2","climate_change_3","flood_1","flood_2","flood_3","connect_1","connect_2","connect_3","connect_4","connect_5","connect_6","gender","age","ethnicity","other_ethn","education","postcode","MD_index","nudge","message_framing"
"1",1,11546606734,257594245,"04/28/2020 05:57:59 PM","04/28/2020 06:07:17 PM","59f7876cbe9c0c0001486c7d",0.333333333333333,0.333333333333333,0.333333333333333,"biodiversity_nudge","B",19,20,0,"I need my money to live",1,15,10,0,19,1,19,"no","what country is it",19,19,3,16,4,4,2,10,1,10,2,16,14,5,3,1,0,0,0,2,6,6,5,6,6,"Male",59.5,"White or Caucasian","0","O-level/GCSE or equivalent including vocational equivalents","YO305QP",10,"present","biodiversity"
"2",2,11536787156,257594245,"04/24/2020 11:08:54 PM","04/24/2020 11:15:55 PM","5a57e4f7acc75b00017a2dcd",0.333333333333333,0.333333333333333,0.333333333333333,"biodiversity_nudge","B",20,20,20,"I decided to donate as I thought it was a worthy cause",0.4,15,15,15,10,13,11,"None","None",16,16,10,15,0,4,14,16,10,10,20,20,15,1,0,0,0,0,0,4,5,5,6,6,7,"Female",21,"Asian or Asian British","0","Undergraduate degree","BL1 2HE",1,"present","biodiversity"
"3",3,11536787063,257594245,"04/24/2020 11:08:11 PM","04/24/2020 11:23:45 PM","5e3fd6c0598f3f215c110c59",0.333333333333333,0.333333333333333,0.333333333333333,"es-local","C",20,20,20,"We need to save our nature, therefore I feel I have to donate in order to support them",0.4,20,20,19,0,17,20,"none","I would want to know what exactly they do with the donated money to support this particular issue ",20,20,20,20,0,3,6,6,2,0,20,20,20,0,1,0,0,0,0,5,7,7,7,7,7,"Female",39.5,"Asian or Asian British","0","Undergraduate degree","SW19 6QY",7,"absent","es-local"
"4",4,11536786864,257594245,"04/24/2020 11:08:17 PM","04/24/2020 11:22:00 PM","5c7dd8e0665aaa001230a6c7",0.5,0.333333333333333,0.166666666666667,"biodiversity","A",17,20,30,"It is important to protect animals and their habitat. ",0.3,20,14,15,20,11,13,"none","none",20,10,20,10,10,10,20,20,10,20,0,11,2,0,3,0,0,0,0,4,6,2,5,2,4,"Female",49.5,"Asian or Asian British","0","Undergraduate degree","SW20 9NA",9,"absent","biodiversity"
"5",5,11536781498,257594245,"04/24/2020 11:07:17 PM","04/24/2020 11:18:13 PM","5e968e6744b6d010b16540a4",0.833333333333333,0.166666666666667,0,"es-global_nudge","F",20,20,50,"Ensuring the environment is protect and maintained is vital for all life on earth",0.5,20,14,5,20,11,9,"Yes, Carbon storage, Deforestation etc.","I would like to know what the restoration would entail to some extent",14,15,10,12,20,20,6,14,8,12,0,14,16,0,5,11,0,0,0,6,7,5,7,5,6,"Male",21,"Black/African/Caribbean/Black British","0","A-level or equivalent including vocational equivalents","CT1 1JN",3,"present","es-global"
"6",6,11536780253,257594245,"04/24/2020 11:06:51 PM","04/24/2020 11:19:51 PM","5c4867155707c80001efd958",0.333333333333333,0.5,0.166666666666667,"es-local_nudge","D",16,20,20,"The main reason for donating is because I don't want to see many of these species going extinct because their home in the forest is going to be destroyed if no action is being taken to protect it.",1,20,10,14,15,10,15,"none","I would have liked additional information on the species that are endangered because of the forest being destroyed. What type of species are most are risk and would need the most help.",20,19,15,18,1,3,15,15,7,15,5,15,20,0,0,0,0,0,0,3,6,4,6,6,6,"Male",29.5,"Asian or Asian British","0","Undergraduate degree","S65 1PD",1,"present","es-local"
"7",7,11534205706,257594245,"04/24/2020 09:41:02 AM","04/24/2020 09:57:21 AM","5b9bb0fde43a4800019b52b5",0.166666666666667,0.5,0.333333333333333,"es-local_nudge","D",16,16,0,"im in a lot of debt",0.75,17,13,15,18,12,15,"none","none",14,11,40,11,6,4,0,1,10,1,0,17,10,11,16,7,0,0,0,3,6,4,4,4,6,"Female",59.5,"Asian or Asian British","0","None of the above","E9 7BT",3,"present","es-local"
"8",8,11530828884,257594245,"04/23/2020 12:46:02 PM","04/23/2020 12:53:34 PM","5d43741ca3ad410001fe3b52",0.166666666666667,0.333333333333333,0.5,"es-global","E",16,19,100,"It looks like a good cause ",1,19,15,16,16,15,14,"None","None",16,16,50,18,1,4,14,15,13,13,17,16,15,1,1,2,0,0,0,2,4,6,6,6,6,"Male",39.5,"Asian or Asian British","0","Undergraduate degree","ST3 4JP",4,"absent","es-global"
"9",10,11530301591,257594245,"04/23/2020 08:41:59 AM","04/23/2020 08:49:56 AM","5c87984a35584100150cf507",0.333333333333333,0.333333333333333,0.333333333333333,"biodiversity","A",15,17,5,"With everything going on with covid 19 it has made my realise how important wildlife is, but due to my finances cannot donate too much",0.3,19,16,11,15,15,16,"none","none",18,18,20,19,2,1,0,1,1,0,20,20,15,5,5,2,0,0,0,6,6,5,6,6,6,"Male",59.5,"Asian or Asian British","0","Undergraduate degree","HA0 1LT",5,"absent","biodiversity"
"10",11,11529271443,257594245,"04/22/2020 11:39:39 PM","04/22/2020 11:52:17 PM","5e0f6712082675669389cafd",0.333333333333333,0.333333333333333,0.333333333333333,"es-global","E",20,20,10,"I want the planet to survive",0.5,20,10,20,20,10,17,"none","none",10,10,5,10,10,20,6,10,4,4,0,20,12,0,10,0,0,0,0,6,5,7,4,6,5,"Female",59.5,"Black/African/Caribbean/Black British","0","Higher degree","SW16 6PZ",5,"absent","es-global"
"11",12,11529176603,257594245,"04/22/2020 11:00:29 PM","04/22/2020 11:23:55 PM","5d36c5f8eddb880016f23ed7",0.5,0.5,0,"es-local","C",10,16,50,"Concerned about the climate change",0.5,20,14,18,12,12,10,"None","None",16,14,10,18,5,10,10,10,5,6,16,16,15,13,13,10,0,0,0,5,6,6,5,4,5,"Female",49.5,"Asian or Asian British","0","Higher degree","NR1 3HP",3,"absent","es-local"
